"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"THOMASCOOK","Thomas Cook  (India)  Limited","Change in Director(s)","Thomas Cook  (India)  Limited has informed the Exchange regarding Change in Director(s) of the company.","10-Apr-2025 12:21:41","2025-04-10 12:21:41","10-Apr-2025 12:21:42","00:00:01","https://nsearchives.nseindia.com/corporate/THOMASCOOK_10042025121339_TermCompletion_PKV_09042025.pdf"
"BAIDFIN","Baid Finserv Limited","Updates","Pursuant to Regulation 169(5) of the ICDR Regulations, please find enclosed herewith, a certificate issued by M/s Khilnani & Associates, Chartered Accountants (Firm s Registration No: 005776C) Statutory Auditors of the Company, certifying that Baid Finserv Limited ( Issuer  or  Company ) is in compliance with Regulation 169(4) of ICDR Regulations and the relevant documents thereof are maintained by the Issuer as on the date of the certificate.","10-Apr-2025 12:21:37","2025-04-10 12:21:37","10-Apr-2025 12:21:37","00:00:00","https://nsearchives.nseindia.com/corporate/20121991_10042025122101_Intimation.pdf"
"MARKSANS","Marksans Pharma Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Marksans Pharma Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:19:03","2025-04-10 12:19:03","10-Apr-2025 12:19:04","00:00:01","https://nsearchives.nseindia.com/corporate/MARKSANS_10042025121855_MPLintimation.pdf"
"MCLOUD","Magellanic Cloud Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Magellanic Cloud Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:18:51","2025-04-10 12:18:51","10-Apr-2025 12:18:51","00:00:00","https://nsearchives.nseindia.com/corporate/MCLOUD_10042025121809_Magellanic_Certificate_74_5_.pdf"
"UNITDSPR","United Spirits Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","United Spirits Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:18:35","2025-04-10 12:18:35","10-Apr-2025 12:18:35","00:00:00","https://nsearchives.nseindia.com/corporate/MCDOWELL_10042025121719_SEIntimation74_5_March2025.pdf"
"TTL","T T Limited","Committee Meeting Updates","T T Limited has informed the Exchange regarding Outcome of Committee Meeting held on April 10, 2025.","10-Apr-2025 12:15:28","2025-04-10 12:15:28","10-Apr-2025 12:15:28","00:00:00","https://nsearchives.nseindia.com/corporate/TTL_10042025121506_Outcome_of_RI.pdf"
"THOMASCOOK","Thomas Cook  (India)  Limited","Cessation","Thomas Cook  (India)  Limited has informed the Exchange regarding Cessation of Mr Pravir Kumar Vohra as Non- Executive Independent Director of the company w.e.f. close of business hours of April 09, 2025.","10-Apr-2025 12:11:32","2025-04-10 12:11:32","10-Apr-2025 12:11:32","00:00:00","https://nsearchives.nseindia.com/corporate/THOMASCOOK_10042025120712_TermCompletion_PKV_09042025.pdf"
"IVP","IVP Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","IVP Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:10:55","2025-04-10 12:10:55","10-Apr-2025 12:10:55","00:00:00","https://nsearchives.nseindia.com/corporate/IVP_10042025121043_BSENSE.pdf"
"HIMATSEIDE","Himatsingka Seide Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Himatsingka Seide Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:09:37","2025-04-10 12:09:37","10-Apr-2025 12:09:37","00:00:00","https://nsearchives.nseindia.com/corporate/HIMATSEIDE_10042025120747_HSL_74_5_Uploading.pdf"
"ONESOURCE","Onesource Specialty Pharma Limited","Press Release","Onesource Specialty Pharma Limited has informed the Exchange regarding a press release dated April 10, 2025, titled ""Press Release w.r.t Good Manufacturing Practices (GMP) certification by ANVISA, the Brazilian Health Regulatory Agency, for OneSource flagship Unit 2 facility"".","10-Apr-2025 12:07:30","2025-04-10 12:07:30","10-Apr-2025 12:07:31","00:00:01","https://nsearchives.nseindia.com/corporate/ONESOURCECDMO_10042025120713_OS_Intimation_Press_Release.pdf"
