instrument_token,tradingsymbol,exchange
51316228,DRL$,BSE
51321604,NIRAJISPAT,BSE
51324420,MAHICKRA,BSE
51332868,SAKAR,BSE
51338244,CROWN,BSE
51342852,MILTON,BSE
51344900,SURANI,BSE
51360516,WEALTH,BSE
51371268,FROG,BSE
51388932,JALAN,BSE
51389956,AISL,BSE
51394820,TEMBO,BSE
51396100,UWCSL,BSE
51454724,SUNDARMHLD,BSE
51465732,ICEMAKE,BSE
51472388,AMBANIORGO,BSE
51492612,E2E,BSE
51515396,CDSL,BSE
51526916,UCL,BSE
51534084,UNITEDPOLY,BSE
51543556,TOUCHWOOD,BSE
51544068,PULZ,BSE
51576580,VARDHACRLC,BSE
51578884,KRISHANA,BSE
51597316,ANTGRAPHIC,BSE
51624196,PANSARI,BSE
51631108,NBIFIN,BSE
51631620,PAR,BSE
51636996,AURDIS,BSE
51640324,EIFFL,BSE
51662340,SHUBHLAXMI,BSE
51683844,BSE,BSE
51728644,AHLADA,BSE
51737348,UNIVASTU,BSE
51739908,CMMIPL,BSE
51748868,DRSDILIP,BSE
51767300,KHFM,BSE
51774212,WORTH$,BSE
51775748,DPSCLTD,BSE
51785220,PROLIFE,BSE
51804676,LAGNAM,BSE
51810052,UNITEDTEA,BSE
51814916,AARVI,BSE
51816964,LAXMICOT,BSE
51837444,TRANSWIND,BSE
51848452,SUMIT,BSE
51893252,VERA,BSE
51897860,PASHUPATI,BSE
51911940,SUULD,BSE
51918596,SVLL,BSE
51933700,AKG,BSE
51954948,AKASH,BSE
51960836,AGROPHOS,BSE
51964164,HECPROJECT,BSE
51972100,VASA,BSE
51986180,MDL,BSE
51993348,BANKA,BSE
52003588,EMKAYTOOLS,BSE
52009476,OMFURN,BSE
52019972,MANAV,BSE
52021764,MMP,BSE
52040196,AARON,BSE
52058628,RMDRIP,BSE
52059140,KOTHARIPET,BSE
52085508,CONTI,BSE
52104196,AIROLAM,BSE
52111108,CONSOFINVT,BSE
52113668,MBAPL,BSE
52130308,TOTAL,BSE
52138756,JAIPURKURT,BSE
52148740,SANCO,BSE
52157188,BETA,BSE
52171012,TIRUPATI,BSE
52172548,NITIRAJ,BSE
52175620,ZOTA,BSE
52195076,KOTARISUG,BSE
52224004,PRITI,BSE
52230660,GRETEX,BSE
52267524,SAGARDEEP,BSE
52291332,JOCIL,BSE
52307460,NDGL,BSE
52310276,SHAIVAL,BSE
52312836,GROBTEA,BSE
52331268,STEELCITY,BSE
52344580,GTECJAINX,BSE
52353284,KALYANI$,BSE
52395268,MITCON,BSE
52410884,GICL,BSE
52413188,ASPINWALL,BSE
52418308,PKTEA,BSE
52471812,THEJO,BSE
52478468,LFIC,BSE
52509700,WIPL,BSE
52526340,SILLYMONKS,BSE
52536836,SANGINITA,BSE
52551428,AVSL,BSE
52566276,PARIN,BSE
52570628,ACEINTEG,BSE
52570884,MAHESHWARI,BSE
52589572,ARVEE,BSE
52600068,LIBAS,BSE
52627972,MHHL,BSE
52632836,REPL,BSE
52643332,KKVAPOW,BSE
52647172,MINDPOOL,BSE
52672260,SIKKO,BSE
52681220,JAKHARIA,BSE
52703492,SILGO,BSE
52719364,APOLSINHOT,BSE
52719620,PRECOT,BSE
52721924,ARTNIRMAN,BSE
52751108,FELIX,BSE
52754180,CADSYS,BSE
52776452,SHANTI,BSE
52782852,ACCORD,BSE
52785924,ASLIND,BSE
52796932,LEXUS,BSE
52797700,AHIMSA,BSE
52869380,SHIVAUM,BSE
52871940,GOLDKART,BSE
52878852,ASCOM,BSE
52935172,LGHL,BSE
53098500,SHRENIK,BSE
53170436,MARINE,BSE
53179908,PARTYCRUS,BSE
53201668,SIDDHIKA,BSE
53262340,AILIMITED,BSE
53274884,WALPAR,BSE
53275140,MOKSH,BSE
53282308,GLOBE,BSE
53285124,REXPIPES,BSE
53285380,NPST,BSE
53295620,ABMINTLLTD,BSE
53298948,GANGAFORGE,BSE
53300228,BEWLTD,BSE
53307396,QUADPRO,BSE
53324548,JAINAM,BSE
53324804,TIRUPATIFL,BSE
53325060,BMETRICS,BSE
53329412,DKEGL,BSE
53340676,NIDAN,BSE
53352708,NRL,BSE
53355012,EUROBOND,BSE
53355268,FOCE,BSE
53358852,VIVO,BSE
53369348,ABCOTS,BSE
53369604,TIMESCAN,BSE
53376516,ONEPOINT,BSE
53383172,PRECISION,BSE
53385476,AAKASH,BSE
53391620,RICHA,BSE
53395972,MADHAVBAUG,BSE
53408260,SPRL,BSE
53408772,COOLCAPS,BSE
53412612,GODHA,BSE
53417220,SWARAJ,BSE
53417476,KNAGRI,BSE
53426948,KRISHIVAL,BSE
53434884,PROPEQUITY,BSE
53435140,KRISHNADEF,BSE
53438212,JSLL,BSE
53441796,LEMERITE,BSE
53446660,GSTL$,BSE
53450500,RILINFRA,BSE
53450756,FIDEL,BSE
53484548,DUGLOBAL,BSE
53487620,MWL,BSE
53488132,SKP$,BSE
53498884,AGNI,BSE
53505540,USASEEDS,BSE
53515780,VEEKAYEM,BSE
53519620,KRITIKA,BSE
53524228,DANGEE,BSE
53525764,AMEYA,BSE
53526020,JFLLIFE,BSE
53532164,MEGAFLEX,BSE
53533444,TAPIFRUIT,BSE
53535492,BSHSL,BSE
53536260,ANNAPURNA,BSE
53537028,MAKS,BSE
53537284,KANDARP,BSE
53547268,AJOONI,BSE
53547524,CMRSL,BSE
53547780,LLOYDS,BSE
53548036,QMSMEDI,BSE
53548292,SWASTIK,BSE
53552644,PHANTOMFX,BSE
53553156,KSHITIJPOL,BSE
53553412,BOHRAIND,BSE
53564420,IPSL,BSE
53564676,RITEZONE,BSE
53564932,VITAL,BSE
53565188,AMIABLE,BSE
53578500,BAHETI,BSE
53580548,ARHAM,BSE
53587972,ALLETEC,BSE
53592068,DOLLEX,BSE
53592324,UMA,BSE
53592836,ARIHANTACA,BSE
53594372,MOXSH,BSE
53597956,HOMESFY,BSE
53601028,ANLON,BSE
53603844,CMNL,BSE
53605636,DUCOL,BSE
53607172,GOLDSTAR,BSE
53607684,GVPTECH,BSE
53612804,ARISTO,BSE
53620740,GRCL,BSE
53624580,LATTEYS,BSE
53624836,VCL,BSE
53625092,ACCURACY,BSE
53627908,SHERA,BSE
53634052,VIAZ,BSE
53640196,SRIVASAVI,BSE
53644036,OSIAHYPER,BSE
53645572,VERTEXPLUS,BSE
53645828,SYSTANGO,BSE
53657092,MCON,BSE
53657860,QFIL,BSE
53719556,SOTAC,BSE
53834244,INFINIUM,BSE
53835012,MOS,BSE
53836804,PATTECH,BSE
53837060,AGUL,BSE
53839108,SECL,BSE
53842692,DENEERS,BSE
53844740,CLOUD,BSE
53846276,SRPL,BSE
53846532,AUROIMPEX,BSE
53849860,KRISHCA,BSE
53850116,REMUS,BSE
53855748,DENTALKART,BSE
53856772,PROV,BSE
53857284,INFOLLION,BSE
53861892,SAHANA,BSE
53869060,URBAN,BSE
53869316,SPECTSTM,BSE
53871108,CELLPOINT,BSE
53871364,VILINBIO,BSE
53871620,AATMAJ,BSE
53876228,ESFL,BSE
53876484,MAGSON,BSE
53876740,GREENCHEF,BSE
53881092,PENTAGON,BSE
53881348,GLOBALPET,BSE
53881860,SYNOPTICS,BSE
53882116,TRIDHYA,BSE
53886724,DRONE,BSE
53887492,SERVICE,BSE
53890564,SERVOTECH,BSE
53892356,YCCL,BSE
53895684,SHRITECH,BSE
53896196,ZEAL$,BSE
53897988,IRISDOREME,BSE
53898244,VINSYS,BSE
53898500,ORIANA,BSE
53899524,SANGANI,BSE
53899780,OSWALSEEDS,BSE
53900036,SSFL,BSE
53905156,CLSL,BSE
53905668,SEL$,BSE
53909252,MONOPHARMA,BSE
53909508,CPS,BSE
53913092,BASILIC,BSE
53913348,PRAMARA,BSE
53913604,SAROJA,BSE
53917700,UNIHEALTH,BSE
53918468,HOLMARC,BSE
53918724,CHAVDA,BSE
53921796,KEL$,BSE
53922052,MADHUSUDAN,BSE
53923076,HIGREEN,BSE
53923332,MARCO,BSE
53928196,MASTER,BSE
53928452,SAAKSHI,BSE
53928708,MAL$,BSE
53928964,DIGIKORE,BSE
53929476,INSPIRE,BSE
53935108,VINYAS,BSE
53935364,FOCUS$,BSE
53935876,ARABIAN,BSE
53936132,EFACTOR,BSE
53936644,KONTOR,BSE
53936900,VISHNUINFR,BSE
53937412,OLIL,BSE
53937668,GOYALSALT,BSE
53937924,CANARYS,BSE
53938436,KARNIKA,BSE
53938692,SCML,BSE
53941252,PLADAINFO,BSE
53946372,GEEKAYWIRE,BSE
53950980,WOMANCART,BSE
53951492,RCDL,BSE
53952004,MITTAL,BSE
53961220,TRANSTEEL,BSE
53961476,MAITREYA,BSE
53961732,SARTELE,BSE
53965572,MICROPRO,BSE
53965828,HINDCON,BSE
53967108,BABAFP,BSE
53969924,SUNREST,BSE
53983492,MARINETRAN,BSE
53983748,CBAZAAR,BSE
53984004,SHEETAL,BSE
53984516,GRAPHISAD,BSE
53994244,ACCENTMIC,BSE
53994500,PRESSTONIC,BSE
53996292,SJLOGISTIC,BSE
53996548,SHREEOSFM,BSE
54008068,TECHLABS,BSE
54008580,SAIFL,BSE
54009348,AKANKSHA,BSE
54009604,HRHNEXT,BSE
54012932,KLL,BSE
54017028,IBLFL,BSE
54020100,APS,BSE
54025220,MAXPOSURE,BSE
54027780,ISHAN,BSE
54032900,LAWSIKHO,BSE
54039300,FONEBOX,BSE
54039556,DELAPLEX,BSE
54040324,MEGATHERM,BSE
54040580,BAWEJA,BSE
54046980,ITALIANE,BSE
54048516,ALPEXSOLAR,BSE
54053380,WTICAB,BSE
54059780,ATMASTCO,BSE
54060036,INM,BSE
54060292,TCL,BSE
54060548,ESCONET,BSE
54061828,ZENITHDRUG,BSE
54062340,DEEM,BSE
54068484,SADHAV,BSE
54073604,PURVFLEXI,BSE
54075140,MVKAGRO,BSE
54080004,VR,BSE
54080772,SONAMAC,BSE
54081796,SHREEKARNI,BSE
54087940,PRATHAM,BSE
54088452,SIGNORIA,BSE
54089988,AVPINFRA,BSE
54099716,ENFUSE,BSE
54133764,VISHWAS,BSE
54137092,ASPIRE,BSE
54137348,BLUEPEBBLE,BSE
54138116,TRUST,BSE
54141956,TAC,BSE
54142212,RADIOWALLA,BSE
54142468,K2INFRA,BSE
54142724,YASHOPTICS,BSE
54143492,CGRAPHICS,BSE
54143748,ALUWIND,BSE
54144260,DRSCARGO,BSE
54146308,DCG,BSE
54149380,BIRDYS,BSE
54149636,RBS,BSE
54160132,SONAMLTD,BSE
54160644,WINSOL,BSE
54161412,SILKFLEX,BSE
54164484,PRLIND,BSE
54165508,VERITAAS,BSE
54170372,HOACFOODS,BSE
54171652,BALAXI,BSE
54177028,VILAS,BSE
54178052,BEACON,BSE
54178308,ZTECH,BSE
54178820,AIMTRON,BSE
54191876,GPECO,BSE
54193156,DURLAX,BSE
54193412,FALCONTECH,BSE
54193668,WINNY,BSE
54198532,SYLVANPLY,BSE
54198788,VISAMAN,BSE
54199044,MASON,BSE
54200580,AKIKO,BSE
54200836,DPEL,BSE
54201604,PCCL,BSE
54201860,DTL,BSE
54206724,NEPHROCARE,BSE
54207236,VERTOZ,BSE
54209028,AMBEY,BSE
54210052,GGBL,BSE
54210308,EFFWA,BSE
54211588,SAHAJSOLAR,BSE
54214404,PRIZOR,BSE
54215428,TUNWAL,BSE
54215940,BEARDSELL,BSE
54216708,MACOBSTECH,BSE
54216964,KATARIA,BSE
54220548,VLINFRA,BSE
54221572,CHETANA,BSE
54221828,APRAMEYA,BSE
54222084,TROM,BSE
54226948,ESPRIT,BSE
54228740,ASHALOG,BSE
54228996,RAJINDLTD,BSE
54229252,SSEGL,BSE
54229508,BULKCORP,BSE
54229764,UTSSAV,BSE
54230788,DHARIWAL,BSE
54235140,CELLECOR,BSE
54235396,PPSL,BSE
54235908,KAPSTON,BSE
54238468,MITCONPP,BSE
54238980,AESTHETIK,BSE
54241796,POSITRON,BSE
54242052,SUNLITE,BSE
54242564,BALCO,BSE
54245892,BRACEPORT,BSE
54246148,FORCAS,BSE
54247940,IDEALTECHO,BSE
54254596,JAYBEE,BSE
54254852,VDEAL,BSE
54255620,PARAMATRIX,BSE
54255876,AERON,BSE
54260484,BOSS,BSE
54260996,JEYYAM,BSE
54262276,NAMOEWASTE,BSE
54262532,MYMUDRA,BSE
54264580,VIESL,BSE
54265604,GAJANAND,BSE
54265860,SHUBHSHREE,BSE
54266372,SPPPOLY,BSE
54266884,RPPL,BSE
54267140,INNOMET,BSE
54267652,EXCELLENT,BSE
54272260,DECCANTRAN,BSE
54272516,ENVIRO,BSE
54272772,PELATRO,BSE
54273796,PSFL,BSE
54275332,KALANA,BSE
54282244,AVIANSH,BSE
54283524,RAPPID,BSE
54283780,WOL3D,BSE
54285316,UNILEX,BSE
54285572,TECHERA,BSE
54285828,THESL,BSE
54286852,SAHASRA,BSE
54287108,FORGEAUTO,BSE
54291204,SAJHOTELS,BSE
54291460,HVAX,BSE
54291972,PARAMOUNT,BSE
54299396,VAISHALI,BSE
54301188,PRANIK,BSE
54304260,LAKSHYA,BSE
54304772,FRESHARA,BSE
54305796,PREMIUM,BSE
54306308,UHTL,BSE
54306564,OBSCP,BSE
54306820,DANISH,BSE
54307588,JASH,BSE
54307844,KCK,BSE
54319364,NEELAM,BSE
54319876,ONYX,BSE
54328580,LAMOSAIC,BSE
54329092,ITTL,BSE
54330116,RAJPUTANA$,BSE
54331908,AGARWALTUF,BSE
54336260,GANESHIN,BSE
54337284,GLOBAL,BSE
54340100,ETML,BSE
54341892,DHANLAXMI,BSE
54343428,PURPLEUTED,BSE
54343684,SFML,BSE
54351108,IDENTICAL,BSE
54358532,ANYA,BSE
54368772,DELTIC,BSE
54372612,SATKARTAR,BSE
54372868,BARFLEX,BSE
54374660,KKJEWELS,BSE
54377476,EMAPARTNER,BSE
54379524,REXPRO,BSE
54393604,ENSER,BSE
54394884,CHAMUNDA,BSE
54395396,KEN,BSE
54395908,READYMIX,BSE
54399492,PRITIKA,BSE
54399748,ELGNZ,BSE
54400260,CHANDAN,BSE
54401540,PSRAJ,BSE
54401796,MAXVOLT,BSE
54402052,VOLERCAR,BSE
54407940,ROYALARC,BSE
54408196,TEJASCARGO,BSE
54410500,HPTL,BSE
54428164,BALAJIPHOS,BSE
54452740,DIVINEHIRA,BSE
54459140,GCHOTELS,BSE
54572292,ACTIVEINFR,BSE
54572548,RAPIDFLEET,BSE
54574340,ATCENERGY,BSE
54574596,SHRIAHIMSA,BSE
128000516,ABB,BSE
128000772,AEGISLOG,BSE
128002052,ARE&M,BSE
128002308,AMBALALSA,BSE
128003076,ANDHRAPET,BSE
128003332,ANSALAPI,BSE
128003588,UTIQUE,BSE
128004100,ARUNAHTEL,BSE
128005124,BOMDYEING,BSE
128005892,ASIANHOTNR,BSE
128006916,ATUL,BSE
128007172,ATVPR,BSE
128007940,BAJAJELEC,BSE
128008196,BAJAJHIND,BSE
128008452,FORCEMOT,BSE
128008708,BAJFINANCE,BSE
128009732,BALRAMCHIN,BSE
128009988,BANCOINDIA,BSE
128010244,ABREL,BSE
128010500,BANARISUG,BSE
128010756,BASF,BSE
128011012,BATAINDIA,BSE
128012292,BEML,BSE
128012548,BEL,BSE
128013316,BEPL,BSE
128014852,BIHSPONG,BSE
128015108,BINANIIND,BSE
128015364,BIRLACABLE,BSE
128017156,BLUESTARCO,BSE
128017412,DISAQ,BSE
128017668,QUESTCAP,BSE
128018948,BPL,BSE
128019972,OAL,BSE
128021252,CENTEXT,BSE
128021508,CESC,BSE
128021764,CHAMBLFERT,BSE
128022020,EXIDEIND,BSE
128022276,CIPLA,BSE
128022788,DICIND,BSE
128023556,CRISIL,BSE
128023812,CGPOWER,BSE
128024580,DABUR,BSE
128024836,DALMIASUG,BSE
128025860,ARVIND,BSE
128026372,BHEL,BSE
128026628,HINDPETRO,BSE
128027140,IFCI,BSE
128027652,MTNL,BSE
128027908,MRPL,BSE
128028164,CHENNPETRO,BSE
128028676,SBIN,BSE
128028932,SAIL,BSE
128029188,TITAN,BSE
128029700,IDBI,BSE
128029956,DCW,BSE
128030468,DHAMPURSUG,BSE
128030724,DIAMINESQ,BSE
128031492,ELANTAS,BSE
128031748,DRREDDY,BSE
128032004,EIDPARRY,BSE
128032260,PGHL,BSE
128032772,ELECTCAST,BSE
128034052,ESABINDIA,BSE
128034564,EPL,BSE
128034820,ESTER,BSE
128036356,FGP,BSE
128036612,PHCAP,BSE
128036868,FINCABLES,BSE
128037636,COCKERILL,BSE
128037892,UFLEX,BSE
128038404,FOSECOIND,BSE
128038660,GOLDENTOBC,BSE
128039172,GANESHBE,BSE
128040708,METROGLOBL,BSE
128040964,GTL,BSE
128041732,GODFRYPHLP,BSE
128041988,GODREJIND,BSE
128042244,KANSAINER,BSE
128042500,GOODRICKE,BSE
128043012,GOODYEAR,BSE
128043524,GTNINDS,BSE
128043780,GHCL,BSE
128044292,GFLLIMITED,BSE
128044548,GLFL,BSE
128045828,HCL-INSYS,BSE
128046084,HDFCBANK,BSE
128046596,HEROMOTOCO,BSE
128046852,HFCL,BSE
128047108,HSCL,BSE
128047364,HCC,BSE
128047620,HINDOILEXP,BSE
128047876,AGI,BSE
128048132,HINDZINC,BSE
128048388,NDLVENTURE,BSE
128048900,HMT,BSE
128049156,PRAGBOS,BSE
128049412,HLVLTD,BSE
128050948,IGPL,BSE
128051460,INDIAGLYCO,BSE
128051716,INDLEASE,BSE
128052740,MARGOFIN,BSE
128052996,INDORAMA,BSE
128053508,INFY,BSE
128053764,INGERRAND,BSE
128054532,ITHL,BSE
128054788,IONEXCHANG,BSE
128055044,SUNDROP,BSE
128056068,JISLJALEQS,BSE
128056324,JASCH,BSE
128058116,JINDALPOLY,BSE
128058372,JSWSTEEL,BSE
128059140,UMANGDAIRY,BSE
128059652,KAJARIACER,BSE
128059908,KAKATCEM,BSE
128060164,KSL,BSE
128060932,WHIRLPOOL,BSE
128061188,KGDENIM,BSE
128061444,KINETICENG,BSE
128061700,KIRLOSBROS,BSE
128062212,KIRLOSIND,BSE
128062724,KIRLFER,BSE
128062980,ENVAIREL,BSE
128063236,KOTAKBANK,BSE
128063492,KRIFILIND,BSE
128063748,KSB,BSE
128064004,LGBBROSLTD,BSE
128064260,TRENT,BSE
128064516,LMW,BSE
128064772,LICHSGFIN,BSE
128065796,LUPIN,BSE
128066308,LYKALABS,BSE
128066564,RAMCOCEM,BSE
128067076,HYBRIDFIN,BSE
128067588,MAFATIND,BSE
128067844,MAHSEAMLES,BSE
128068100,MAHSCOOTER,BSE
128068356,MAJESAUT,BSE
128068612,MANALIPETC,BSE
128069124,BARODARY,BSE
128069380,MFSL,BSE
128070916,MIDINDIA,BSE
128071428,MIRCELECTR,BSE
128071684,CENTENKA,BSE
128072196,MODTHREAD,BSE
128072708,LORDSCHLO,BSE
128072964,SPICEJET,BSE
128073732,MOREPENLAB,BSE
128074244,MRF,BSE
128074756,HEIDELBERG,BSE
128075268,NCC,BSE
128075524,VEDL,BSE
128075780,NAHARSPING,BSE
128076292,NAPEROL,BSE
128076804,GRASIM,BSE
128077316,PEL,BSE
128077828,NIITLTD,BSE
128078340,JAYKAY,BSE
128078596,NIRLON,BSE
128079876,ONGC,BSE
128080132,OILCOUNTUB,BSE
128080388,ORIENTHOT,BSE
128081156,OSWALAGRO,BSE
128081668,INDSUCR,BSE
128082436,PANCM,BSE
128083204,RELIANCE,BSE
128083716,PILITA,BSE
128084484,RAYMOND,BSE
128084740,PIDILITIND,BSE
128085252,PIXTRANS,BSE
128085764,BIRLACORPN,BSE
128086020,SURYAROSNI,BSE
128086276,PRIMESECU,BSE
128086532,PRSMJOHNSN,BSE
128086788,RAIN,BSE
128087556,PRUDMOULI,BSE
128087812,AMJLAND,BSE
128088580,PUNJCOMMU,BSE
128089604,RSWM,BSE
128090628,RAJSREESUG,BSE
128090884,RALLIS,BSE
128091140,RAMANEWS,BSE
128091396,RAMAPPR-B,BSE
128091652,RAMAPETRO,BSE
128092164,RAPICUT,BSE
128093444,WELSPLSOL,BSE
128093700,ROLTA,BSE
128093956,RUBFILA,BSE
128094212,PATANJALI,BSE
128094724,SALORAINTL,BSE
128096772,JINDALSAW,BSE
128097284,JKLAKSHMI,BSE
128099076,SHREECEM,BSE
128099332,SKPMIL,BSE
128099588,SILVERLINE,BSE
128099844,RELINFRA,BSE
128102404,TATAPOWER,BSE
128102916,SPMLINFRA,BSE
128103172,SUNDRMFAST,BSE
128103428,SUNFLAG,BSE
128103684,SPLPETRO,BSE
128104196,SWARAJENG,BSE
128104452,TATAELXSI,BSE
128104964,ACC,BSE
128105220,THERMAX,BSE
128105476,TIRUMALCHM,BSE
128105732,THOMASCOOK,BSE
128105988,TIMEX,BSE
128107012,TOKYOPLAST,BSE
128107524,TORNTPHARM,BSE
128107780,TPINDIA,BSE
128108036,TRANSCHEM,BSE
128108804,AMBUJACEM,BSE
128109060,UTLINDS,BSE
